school_code,school_name,major_group_code,province,year,batch,subject_type,plan_count,admission_count,min_admission_score,min_admission_rank
12121,南方医科大学(地方专项),212,广东省,2023,本科批,历史类,25,25,530,23434
12214,湖南医药学院,201,广东省,2023,本科批,历史类,1,1,506,36168
12214,"试
湖南医药学院",204,广东省,2023,本科批,历史类,2,2,526,25260
12216,安徽新华学院,201,广东省,2023,本科批,历史类,3,3,480,53972
12303,"考
湖南涉外经济学院",201,广东省,2023,本科批,历史类,18,18,475,57683
12308,海口经济学院,201,广东省,2023,本科批,历史类,18,18,447,82597
12309,武昌首义学院,201,广东省,2023,本科批,历史类,5,5,491,45864
12310,"育
武昌理工学院",201,广东省,2023,本科批,历史类,10,10,467,64312
12332,烟台南山学院,201,广东省,2023,本科批,历史类,5,5,480,53583
12362,武汉生物工程学院,201,广东省,2023,本科批,历史类,20,20,486,49159
12453,"教
中国劳动关系学院",201,广东省,2023,本科批,历史类,21,21,529,23778
12544,宁夏理工学院(联合培养),201,广东省,2023,本科批,历史类,2,2,476,57051
12544,"省
宁夏理工学院(联合培养)",202,广东省,2023,本科批,历史类,2,2,474,58471
12560,云南经济管理学院,201,广东省,2023,本科批,历史类,5,5,482,52502
12560,云南经济管理学院,202,广东省,2023,本科批,历史类,2,2,477,55570
12574,广东东软学院,219,广东省,2023,本科批,历史类,83,83,451,77997
12574,广东东软学院,220,广东省,2023,本科批,历史类,30,30,455,74622
12574,广东东软学院,222,广东省,2023,本科批,历史类,35,35,453,76694
12574,广东东软学院,"教
223",广东省,2023,本科批,历史类,130,130,445,84604
12574,广东东软学院,224,广东省,2023,本科批,历史类,45,45,444,85226
12599,湘潭大学兴湘学院,201,广东省,2023,本科批,历史类,5,5,494,43950
12604,"省
湖南工业大学科技学院",201,广东省,2023,本科批,历史类,8,8,487,48619
12617,广州城市理工学院,203,广东省,2023,本科批,历史类,300,300,483,51247
12618,广州软件学院,202,广东省,2023,本科批,历史类,412,412,465,65826
12618,"东
广州软件学院(国际班)",207,广东省,2023,本科批,历史类,20,20,452,77869
12619,广州南方学院,201,广东省,2023,本科批,历史类,1285,1285,477,55979
12619,广州南方学院(联合培养),202,广东省,2023,本科批,历史类,16,16,463,67142
12620,"广
广东外语外贸大学南国商学院",201,广东省,2023,本科批,历史类,1008,1008,476,57077
12620,广东外语外贸大学南国商学院(联合培,养) 202,广东省,2023,本科批,历史类,96,96,458,72318
12620,广东外语外贸大学南国商学院,206,广东省,2023,本科批,历史类,222,222,458,71890
12621,广州华商学院,201,广东省,2023,本科批,历史类,2567,2567,446,83568
12621,广州华商学院,202,广东省,2023,本科批,历史类,20,20,459,71014
12621,广州华商学院(学分互认),203,广东省,2023,本科批,历史类,53,53,434,95099
12622,湛江科技学院,203,广东省,2023,本科批,历史类,2028,2028,441,88053
12622,湛江科技学院(联合培养),211,广东省,2023,本科批,历史类,75,27,433,96987
12623,华南农业大学珠江学院,201,广东省,2023,本科批,历史类,927,927,453,76505
12649,湖南科技大学潇湘学院,201,广东省,2023,本科批,历史类,4,4,496,42733
12650,南华大学船山学院,201,广东省,2023,本科批,历史类,4,4,490,46161
